"","MRCA","MaxAge","MinAge","taxonA","taxonB","reference","mrca_node_number","mrca_node_name"
"1","01d676b60a441333fd87f0a163f6aa0c",26.1280567441861,26.1280567441861,"Peucedramus_taeniatus","Cardinalis_sinuatus","Hooper, Daniel M., Trevor D. Price. 2017. Chromosomal inversion differences correlate with range overlap in passerine birds. Nature Ecology & Evolution 1 (10): 1526-1534",253,"n253"
"640","f9ad8e209cca8557e6f12d7896c47a31",33.0162353179487,33.0162353179487,"Peucedramus_taeniatus","Calcarius_pictus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",253,"n253"
"261","350b699ded720df8bf20e7e68cf04012",33.4598599913793,33.4598599913793,"Chlorophonia_occipitalis","Peucedramus_taeniatus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",253,"n253"
"836","539b4d92e63f9e32d8ef6ee63e07fb02",33.4598630974359,33.4598630974359,"Calcarius_pictus","Peucedramus_taeniatus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",253,"n253"
"45","c76f6cb9688e971350faa438a012baef",33.6144087860465,33.6144087860465,"Peucedramus_taeniatus","Phaeothlypis_fulvicauda","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",253,"n253"
"44","94d85c1a806e4d79a2ddfdf37e514fb9",34.9391702824074,34.9391702824074,"Urocynchramus_pylzowi","Peucedramus_taeniatus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",253,"n253"
"260","f05362def4948cf78190cce4a873554e",35.0999999914286,35.0999999914286,"Urocynchramus_pylzowi","Peucedramus_taeniatus","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",253,"n253"
"835","1e60d6a89b6b1f447bb7e6af92dd2c20",42.3068185969388,42.3068185969388,"Peucedramus_taeniatus","Urocynchramus_pylzowi","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",253,"n253"
"639","1e60d6a89b6b1f447bb7e6af92dd2c20",43.0587563214286,43.0587563214286,"Urocynchramus_pylzowi","Peucedramus_taeniatus","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",253,"n253"
"679","b5cf288e4494851fc7cb043316f3c451",12.395335,12.395335,"Rowettia_goughensis","Chlorophonia_occipitalis","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",255,"n255"
"878","3552c2c642d97747a981a7a7ec6dec37",12.48515,12.48515,"Rowettia_goughensis","Chlorophonia_occipitalis","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",255,"n255"
"437","5e4df7625e122541c2c2ea4570d9bc80",16.057334,16.057334,"Schoeniclus_spodocephala","Serinus_canaria","Gibb, Gillian C., Ryan England, Gerrit Hartig, P.A. (Trish) McLenachan, Briar L. Taylor Smith, Bennet J. McComish, Alan Cooper, David Penny. 2015. New Zealand passerines help clarify the diversification of major songbird lineages during the Oligocene. Genome Biology and Evolution 7 (11): 2983-2995.",255,"n255"
"1085","f707ac0a8d0ca0444501f7b94c185423",19.26560752345,19.26560752345,"Carpodacus_puniceus","Emberiza_stewarti","Price, Trevor D., Daniel M. Hooper, Caitlyn D. Buchanan, Ulf S. Johansson, D. Thomas Tietze, Per Alström, Urban Olsson, Mousumi Ghosh-Harihar, Farah Ishtiaq, Sandeep K. Gupta, Jochen Martens, Bettina Harr, Pratap Singh, Dhananjai Mohan. 2014. Niche filling slows the diversification of Himalayan songbirds. Nature 509: 222-225.",255,"n255"
"2","41bbfe26ea1604d85926c664ab43d792",20.1983174977778,20.1983174977778,"Cardinalis_sinuatus","Fringilla_montifringilla","Hooper, Daniel M., Trevor D. Price. 2017. Chromosomal inversion differences correlate with range overlap in passerine birds. Nature Ecology & Evolution 1 (10): 1526-1534",255,"n255"
