"","MRCA","MaxAge","MinAge","taxonA","taxonB","reference","mrca_node_number","mrca_node_name"
"1","75d9ce8410666ccd49d520e3aa1ce9c5",20.19831775,20.19831775,"Schoeniclus_elegans","Carpodacus_roseus","Hooper, Daniel M., Trevor D. Price. 2017. Chromosomal inversion differences correlate with range overlap in passerine birds. Nature Ecology & Evolution 1 (10): 1526-1534",14,"n14"
"5","86ba0b28c6004930f20f9843141dd937",23.9225047222222,23.9225047222222,"Fringilla_montifringilla","Rhodothraupis_celaeno","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",14,"n14"
"33","a464d830e163dab7d58ffa8ff976200f",24.4853495,24.4853495,"Fringilla_montifringilla","Rhodothraupis_celaeno","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",14,"n14"
"16","86ba0b28c6004930f20f9843141dd937",24.8,24.8,"Emberiza_citrinella","Pyrrhula_nipalensis","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",14,"n14"
"43","a464d830e163dab7d58ffa8ff976200f",26.0094547142857,26.0094547142857,"Fringilla_montifringilla","Rhodothraupis_celaeno","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",14,"n14"
"27","6fc4a24c4fba4f351cd17d99bbb3651c",14.333652,14.333652,"Rhodothraupis_celaeno","Emberiza_citrinella","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",15,"n15"
"30","6fc4a24c4fba4f351cd17d99bbb3651c",16.2984861666667,16.2984861666667,"Rhodothraupis_celaeno","Schoeniclus_elegans","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",15,"n15"
"34","f53c0ba458d00408c8763a07e22617bb",19.3019756666667,19.3019756666667,"Schoeniclus_elegans","Rhodothraupis_celaeno","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",15,"n15"
"44","f53c0ba458d00408c8763a07e22617bb",21.5140876666667,21.5140876666667,"Rhodothraupis_celaeno","Schoeniclus_elegans","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",15,"n15"
"17","c7323fd4348a92b5df844e1d74468ad5",22,22,"Rhodothraupis_celaeno","Emberiza_citrinella","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",15,"n15"
"7","4bacb1691c4dcdd442c91a89006634b9",22.375728,22.375728,"Rhodothraupis_celaeno","Emberiza_citrinella","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",15,"n15"
"28","689ce8de98f7f7874ca07312375f223e",9.862246,9.862246,"Schoeniclus_elegans","Emberiza_citrinella","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",16,"n16"
"47","5d94e0955c83713fe59e897235663046",10.3391445,10.3391445,"Schoeniclus_elegans","Emberiza_leucocephalos","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",16,"n16"
"37","c6e52979c80ce8a9bad94c9f47d50322",10.6477935,10.6477935,"Schoeniclus_elegans","Emberiza_leucocephalos","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",16,"n16"
"31","689ce8de98f7f7874ca07312375f223e",11.731763,11.731763,"Emberiza_leucocephalos","Schoeniclus_elegans","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",16,"n16"
"2","aa9584eb88511a3edd56e20e8efc8b12",12.513387,12.513387,"Schoeniclus_elegans","Emberiza_leucocephalos","Hooper, Daniel M., Trevor D. Price. 2017. Chromosomal inversion differences correlate with range overlap in passerine birds. Nature Ecology & Evolution 1 (10): 1526-1534",16,"n16"
"18","b8eab26539ee0dcfa09ffc0033c9f606",0.151623000000011,0.151623000000011,"Emberiza_citrinella","Emberiza_leucocephalos","Hedges, S. Blair, Julie Marin, Michael Suleski, Madeline Paymer, Sudhir Kumar. 2015. Tree of life reveals clock-like speciation and diversification. Molecular Biology and Evolution 32 (4): 835-845",17,"n17"
"29","8641065bc452fc686229b2e4ca8ceb7f",0.201199000000001,0.201199000000001,"Emberiza_leucocephalos","Emberiza_citrinella","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",17,"n17"
"32","2d0406013d15e96221368773a74c28fc",0.240930000000002,0.240930000000002,"Emberiza_leucocephalos","Emberiza_citrinella","Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.",17,"n17"
"52","60cdadbe9f3f8f2d44ae37c2881d0db7",0.273246,0.273246,"Emberiza_leucocephalos","Emberiza_citrinella","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448",17,"n17"
