"Node Name","taxon A","taxon B","Node Age","Study reference"
"n1","Peucedramus taeniatus","Platyspiza crassirostris",22.4922461,"Oliveros et al. 2019"
"n1","Peucedramus taeniatus","Platyspiza crassirostris",26.1280567441861,"Hooper et al. 2017"
"n1","Peucedramus taeniatus","Platyspiza crassirostris",34.9391702824074,"Hedges et al. 2015 - chronogram 1"
"n1","Peucedramus taeniatus","Platyspiza crassirostris",35.0999999914286,"Hedges et al. 2015 - chronogram 2"
"n1","Peucedramus taeniatus","Platyspiza crassirostris",42.3068185883839,"Jetz et al. 2012 - chronogram 2"
"n1","Peucedramus taeniatus","Platyspiza crassirostris",43.0587563207071,"Jetz et al. 2012 - chronogram 1"
"n2","Platyspiza crassirostris","Urocynchramus pylzowi",21.7398085,"Oliveros et al. 2019"
"n3","Platyspiza crassirostris","Serinus melanochrous",10.6957998276766,"Kimball et al. 2019 - chronogram 1"
"n3","Platyspiza crassirostris","Serinus melanochrous",10.7070417407303,"Kimball et al. 2019 - chronogram 2"
"n3","Platyspiza crassirostris","Serinus melanochrous",16.057334,"Gibb et al. 2015"
"n3","Platyspiza crassirostris","Serinus melanochrous",17.110396,"Oliveros et al. 2019"
"n3","Platyspiza crassirostris","Serinus melanochrous",19.26560752345,"Price et al. 2014 - chronogram 2"
"n3","Platyspiza crassirostris","Serinus melanochrous",20.1983174977778,"Hooper et al. 2017"
"n3","Platyspiza crassirostris","Serinus melanochrous",20.43652851,"Price et al. 2014 - chronogram 1"
"n3","Platyspiza crassirostris","Serinus melanochrous",20.9297192526316,"Barker et al. 2015 - chronogram 2"
"n3","Platyspiza crassirostris","Serinus melanochrous",20.9984847684211,"Barker et al. 2015 - chronogram 1"
"n3","Platyspiza crassirostris","Serinus melanochrous",20.9999974355,"Barker et al. 2013"
"n3","Platyspiza crassirostris","Serinus melanochrous",21.7097835,"Claramunt et al. 2015"
"n3","Platyspiza crassirostris","Serinus melanochrous",24.485349628882,"Jetz et al. 2012 - chronogram 1"
"n3","Platyspiza crassirostris","Serinus melanochrous",24.799999982353,"Hedges et al. 2015 - chronogram 2"
"n3","Platyspiza crassirostris","Serinus melanochrous",24.8145811952381,"Hedges et al. 2015 - chronogram 1"
"n3","Platyspiza crassirostris","Serinus melanochrous",26.009455,"Uyeda et al 2017"
"n3","Platyspiza crassirostris","Serinus melanochrous",26.0094552124224,"Jetz et al. 2012 - chronogram 2"
"n3","Platyspiza crassirostris","Serinus melanochrous",40.3552933399123,"Roquet et al. 2014 - chronogram 1"
"n3","Platyspiza crassirostris","Serinus melanochrous",40.3552933399123,"Roquet et al. 2014 - chronogram 2"
"n4","Peucaea botterii","Platyspiza crassirostris",14.3336515330189,"Barker et al. 2015 - chronogram 1"
"n4","Peucaea botterii","Platyspiza crassirostris",14.3384040343,"Barker et al. 2013"
"n4","Peucaea botterii","Platyspiza crassirostris",15.126634,"Oliveros et al. 2019"
"n4","Peucaea botterii","Platyspiza crassirostris",15.7294316121,"Price et al. 2014 - chronogram 2"
"n4","Peucaea botterii","Platyspiza crassirostris",16.9499602619048,"Hooper et al. 2017"
"n4","Peucaea botterii","Platyspiza crassirostris",17.5198903473783,"Barker et al. 2015 - chronogram 2"
"n4","Peucaea botterii","Platyspiza crassirostris",17.849318,"Claramunt et al. 2015"
"n4","Peucaea botterii","Platyspiza crassirostris",34.68336625,"Roquet et al. 2014 - chronogram 1"
"n4","Peucaea botterii","Platyspiza crassirostris",34.68336625,"Roquet et al. 2014 - chronogram 2"
"n5","Calcarius lapponicus","Platyspiza crassirostris",13.825429391844,"Barker et al. 2015 - chronogram 1"
"n5","Calcarius lapponicus","Platyspiza crassirostris",20.874674867347,"Hedges et al. 2015 - chronogram 1"
"n5","Calcarius lapponicus","Platyspiza crassirostris",22,"Hedges et al. 2015 - chronogram 2"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",8.26745700846277,"Kimball et al. 2019 - chronogram 1"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",8.27735233338171,"Kimball et al. 2019 - chronogram 2"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",12.9942327288,"Barker et al. 2013"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",13.0241186141304,"Barker et al. 2015 - chronogram 1"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",13.3766918369565,"Barker et al. 2015 - chronogram 2"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",14.9711462,"Hooper et al. 2017"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",19.70859,"Hedges et al. 2015 - chronogram 2"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",19.7128367575251,"Hedges et al. 2015 - chronogram 1"
"n6","Caryothraustes poliogaster","Platyspiza crassirostris",44.295860316,"Burns et al. 2014"
"n7","Parkerthraustes humeralis","Platyspiza crassirostris",11.6676580357143,"Barker et al. 2015 - chronogram 1"
"n7","Parkerthraustes humeralis","Platyspiza crassirostris",11.7029912288,"Barker et al. 2013"
"n7","Parkerthraustes humeralis","Platyspiza crassirostris",12.1303811309524,"Barker et al. 2015 - chronogram 2"
"n7","Parkerthraustes humeralis","Platyspiza crassirostris",13.725361,"Hooper et al. 2017"
"n7","Parkerthraustes humeralis","Platyspiza crassirostris",16.8285592083333,"Hedges et al. 2015 - chronogram 1"
"n7","Parkerthraustes humeralis","Platyspiza crassirostris",19.70859,"Hedges et al. 2015 - chronogram 2"
"n7","Parkerthraustes humeralis","Platyspiza crassirostris",42.3492072942,"Burns et al. 2014"
"n8","Platyspiza crassirostris","Rowettia goughensis",11.30746447,"Barker et al. 2013"
"n8","Platyspiza crassirostris","Rowettia goughensis",11.52186525,"Barker et al. 2015 - chronogram 1"
"n8","Platyspiza crassirostris","Rowettia goughensis",11.9991534,"Barker et al. 2015 - chronogram 2"
"n8","Platyspiza crassirostris","Rowettia goughensis",13.568996,"Hedges et al. 2015 - chronogram 2"
"n8","Platyspiza crassirostris","Rowettia goughensis",13.7135732380953,"Hedges et al. 2015 - chronogram 1"
"n8","Platyspiza crassirostris","Rowettia goughensis",41.415444347,"Burns et al. 2014"
"n9","Cyanerpes nitidus","Platyspiza crassirostris",11.0467304,"Barker et al. 2015 - chronogram 1"
"n9","Cyanerpes nitidus","Platyspiza crassirostris",11.1502880282,"Barker et al. 2013"
"n9","Cyanerpes nitidus","Platyspiza crassirostris",11.5387415333333,"Barker et al. 2015 - chronogram 2"
"n9","Cyanerpes nitidus","Platyspiza crassirostris",39.790034793,"Burns et al. 2014"
"n10","Hemispingus trifasciatus","Platyspiza crassirostris",10.8823207857143,"Barker et al. 2015 - chronogram 1"
"n10","Hemispingus trifasciatus","Platyspiza crassirostris",11.0161546932,"Barker et al. 2013"
"n10","Hemispingus trifasciatus","Platyspiza crassirostris",11.3772735714286,"Barker et al. 2015 - chronogram 2"
"n10","Hemispingus trifasciatus","Platyspiza crassirostris",39.2617699,"Burns et al. 2014"
"n11","Melopyrrha nigra","Platyspiza crassirostris",5.77380600000001,"Hedges et al. 2015 - chronogram 1"
"n11","Melopyrrha nigra","Platyspiza crassirostris",5.98275150000001,"Jetz et al. 2012 - chronogram 1"
"n11","Melopyrrha nigra","Platyspiza crassirostris",6.02610000000001,"Jetz et al. 2012 - chronogram 2"
"n11","Melopyrrha nigra","Platyspiza crassirostris",6.02610400000001,"Hedges et al. 2015 - chronogram 2"
"n11","Melopyrrha nigra","Platyspiza crassirostris",22.4057625,"Burns et al. 2014"
"n12","Embernagra platensis","Hemispingus trifasciatus",10.6775303076923,"Barker et al. 2015 - chronogram 1"
"n12","Embernagra platensis","Hemispingus trifasciatus",10.6834550736,"Barker et al. 2013"
"n12","Embernagra platensis","Hemispingus trifasciatus",10.8467496333333,"Hedges et al. 2015 - chronogram 1"
"n12","Embernagra platensis","Hemispingus trifasciatus",10.884839,"Hedges et al. 2015 - chronogram 2"
"n12","Embernagra platensis","Hemispingus trifasciatus",11.1312706153846,"Barker et al. 2015 - chronogram 2"
"n12","Embernagra platensis","Hemispingus trifasciatus",38.5162644939,"Burns et al. 2014"
"n13","Hemispingus trifasciatus","Hemispingus verticalis",7.14332016666668,"Jetz et al. 2012 - chronogram 1"
"n13","Hemispingus trifasciatus","Hemispingus verticalis",7.98643700000001,"Hedges et al. 2015 - chronogram 2"
"n13","Hemispingus trifasciatus","Hemispingus verticalis",7.98643891666669,"Jetz et al. 2012 - chronogram 2"
"n13","Hemispingus trifasciatus","Hemispingus verticalis",8.48935218181819,"Hedges et al. 2015 - chronogram 1"
"n13","Hemispingus trifasciatus","Hemispingus verticalis",8.49867277272728,"Barker et al. 2015 - chronogram 1"
"n13","Hemispingus trifasciatus","Hemispingus verticalis",8.85715313636364,"Barker et al. 2015 - chronogram 2"
"n13","Hemispingus trifasciatus","Hemispingus verticalis",30.6197690769,"Burns et al. 2014"
"n14","Hemispingus rufosuperciliaris","Hemispingus trifasciatus",7.92990833333334,"Barker et al. 2015 - chronogram 1"
"n14","Hemispingus rufosuperciliaris","Hemispingus trifasciatus",8.25236816666667,"Barker et al. 2015 - chronogram 2"
"n14","Hemispingus rufosuperciliaris","Hemispingus trifasciatus",28.6131824039,"Burns et al. 2014"
"n15","Hemispingus atropileus","Hemispingus trifasciatus",6.64274350000002,"Jetz et al. 2012 - chronogram 1"
"n15","Hemispingus atropileus","Hemispingus trifasciatus",6.7062131746,"Barker et al. 2013"
"n15","Hemispingus atropileus","Hemispingus trifasciatus",7.23771378571429,"Barker et al. 2015 - chronogram 1"
"n15","Hemispingus atropileus","Hemispingus trifasciatus",7.42677975000002,"Jetz et al. 2012 - chronogram 2"
"n15","Hemispingus atropileus","Hemispingus trifasciatus",7.53518539285715,"Barker et al. 2015 - chronogram 2"
"n15","Hemispingus atropileus","Hemispingus trifasciatus",26.1228047229,"Burns et al. 2014"
"n16","Hemispingus superciliaris","Hemispingus trifasciatus",6.11235300000002,"Jetz et al. 2012 - chronogram 1"
"n16","Hemispingus superciliaris","Hemispingus trifasciatus",6.83378812500001,"Jetz et al. 2012 - chronogram 2"
"n16","Hemispingus superciliaris","Hemispingus trifasciatus",24.6808977029,"Burns et al. 2014"
"n17","Donacospiza albifrons","Hemispingus trifasciatus",5.531842,"Barker et al. 2015 - chronogram 1"
"n17","Donacospiza albifrons","Hemispingus trifasciatus",5.58335900000002,"Jetz et al. 2012 - chronogram 1"
"n17","Donacospiza albifrons","Hemispingus trifasciatus",5.7899205,"Barker et al. 2015 - chronogram 2"
"n17","Donacospiza albifrons","Hemispingus trifasciatus",6.24235750000001,"Jetz et al. 2012 - chronogram 2"
"n17","Donacospiza albifrons","Hemispingus trifasciatus",19.9933410569,"Burns et al. 2014"
"n18","Hemispingus piurae","Hemispingus superciliaris",5.38092300000002,"Jetz et al. 2012 - chronogram 1"
"n18","Hemispingus piurae","Hemispingus superciliaris",5.4544835,"Barker et al. 2015 - chronogram 1"
"n18","Hemispingus piurae","Hemispingus superciliaris",5.716284,"Barker et al. 2015 - chronogram 2"
"n18","Hemispingus piurae","Hemispingus superciliaris",5.82981200000001,"Hedges et al. 2015 - chronogram 1"
"n18","Hemispingus piurae","Hemispingus superciliaris",6.01602750000001,"Jetz et al. 2012 - chronogram 2"
"n18","Hemispingus piurae","Hemispingus superciliaris",6.01603000000001,"Hedges et al. 2015 - chronogram 2"
"n18","Hemispingus piurae","Hemispingus superciliaris",19.7332102029,"Burns et al. 2014"
"n19","Hemispingus frontalis","Hemispingus piurae",3.41847000000002,"Jetz et al. 2012 - chronogram 1"
"n19","Hemispingus frontalis","Hemispingus piurae",3.82194900000002,"Jetz et al. 2012 - chronogram 2"
"n19","Hemispingus frontalis","Hemispingus piurae",3.82195000000001,"Hedges et al. 2015 - chronogram 2"
"n19","Hemispingus frontalis","Hemispingus piurae",3.85380300000001,"Hedges et al. 2015 - chronogram 1"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.224304,"Hedges et al. 2015 - chronogram 1"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.30949000000002,"Jetz et al. 2012 - chronogram 1"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.52066,"Barker et al. 2015 - chronogram 1"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.58207700000002,"Jetz et al. 2012 - chronogram 2"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.58208000000001,"Hedges et al. 2015 - chronogram 2"
"n20","Hemispingus frontalis","Hemispingus melanotis",2.633439,"Barker et al. 2015 - chronogram 2"
"n20","Hemispingus frontalis","Hemispingus melanotis",9.1221721529,"Burns et al. 2014"
"n21","Hemispingus atropileus","Hemispingus calophrys",3.80926200000002,"Jetz et al. 2012 - chronogram 1"
"n21","Hemispingus atropileus","Hemispingus calophrys",4.25886450000002,"Jetz et al. 2012 - chronogram 2"
"n21","Hemispingus atropileus","Hemispingus calophrys",4.25886700000001,"Hedges et al. 2015 - chronogram 2"
"n21","Hemispingus atropileus","Hemispingus calophrys",4.3095475,"Barker et al. 2015 - chronogram 1"
"n21","Hemispingus atropileus","Hemispingus calophrys",4.5212235,"Barker et al. 2015 - chronogram 2"
